N,P,K,temperature,humidity,ph,rainfall,label
28.6,77.7,51.79,21.06,49.4,7.89,31.62,Chickpea
23.44,89.32,36.69,15.48,50.72,7.58,54.02,Chickpea
81.38,45.8,45.18,32.73,83.06,6.96,208.58,Jute
106.26,60.98,80.54,10.57,51.66,6.72,63.93,Wheat
108.14,65.39,85.86,28.21,82.18,6.2,161.99,Banana
94.08,49.79,47.83,11.82,53.12,6.45,36.43,Barley
120.48,69.1,88.43,32.69,77.67,7.14,183.0,Sugarcane
59.73,39.4,49.53,33.29,55.06,6.63,64.97,Bajra
117.87,67.57,76.64,17.44,52.28,6.63,60.37,Wheat
97.39,57.87,75.47,21.04,71.3,6.41,95.5,Tomato
63.03,51.62,40.53,17.29,45.5,6.51,28.97,Mustard
82.43,61.78,57.07,21.27,59.24,6.28,87.73,Onion
23.48,74.93,33.76,19.68,39.62,7.42,35.48,Lentil
23.24,59.56,41.81,15.16,50.29,6.69,34.83,Lentil
29.79,80.0,42.39,18.08,41.57,7.43,48.92,Lentil
83.56,33.51,44.79,30.58,41.15,6.96,54.16,Bajra
33.3,55.86,51.73,26.85,55.84,5.87,102.45,Groundnut
30.41,68.02,61.22,26.55,66.47,7.17,126.91,Soybean
31.95,66.65,40.84,26.54,55.19,5.86,118.23,Groundnut
56.85,28.4,31.01,39.71,48.1,7.75,44.33,Bajra
106.21,53.41,61.96,22.37,61.95,6.43,134.3,Maize
27.72,63.45,42.85,16.94,43.96,6.79,31.09,Lentil
79.33,30.68,51.88,12.27,52.05,6.14,47.07,Mustard
78.34,47.27,51.63,39.28,56.82,6.74,38.78,Bajra
29.56,70.99,57.03,30.06,56.08,6.04,76.31,Groundnut
24.22,59.08,38.82,26.33,60.98,6.54,76.98,Groundnut
38.39,55.85,59.65,27.91,66.54,6.75,124.12,Soybean
109.0,66.93,84.66,19.95,54.31,7.04,66.0,Wheat
102.56,50.06,89.03,27.7,65.58,6.01,98.07,Tomato
100.04,79.89,121.38,18.11,75.15,6.04,111.38,Potato
92.04,40.01,66.96,37.44,86.44,7.1,230.1,Jute
127.32,56.65,87.58,35.21,80.29,5.59,188.98,Banana
130.42,59.95,90.01,30.58,75.0,6.94,176.46,Sugarcane
71.06,38.48,50.75,33.55,49.52,7.83,77.11,Cotton
44.33,68.44,47.74,31.15,69.9,6.26,117.61,Groundnut
59.22,49.51,53.76,32.27,47.79,6.48,40.51,Bajra
112.2,67.0,88.16,33.16,83.1,6.71,152.04,Sugarcane
74.16,48.07,71.64,23.17,54.77,6.44,87.15,Onion
106.21,45.43,126.02,28.56,80.49,5.77,199.28,Banana
76.98,43.96,46.05,27.43,65.43,6.44,79.74,Sunflower
93.96,40.23,70.68,23.9,71.68,5.94,117.29,Maize
64.2,33.69,55.16,12.54,48.47,6.37,35.73,Barley
77.59,51.04,44.17,23.58,66.77,6.22,79.81,Sunflower
28.89,71.56,38.98,27.28,55.03,6.53,83.75,Groundnut
108.11,61.69,89.55,18.53,57.47,7.1,56.82,Wheat
124.89,73.01,83.06,34.52,80.62,7.28,178.2,Sugarcane
67.69,38.84,37.36,25.14,63.78,6.31,97.53,Sunflower
34.13,75.97,47.35,23.71,70.46,6.79,106.43,Soybean
76.41,58.85,48.23,26.52,61.67,6.49,95.57,Sunflower
23.49,60.91,55.97,31.38,52.06,5.87,115.47,Groundnut
72.49,40.31,57.91,23.51,70.72,6.95,77.51,Onion
15.84,78.7,25.08,19.81,47.39,6.79,42.45,Lentil
111.61,67.31,126.62,15.42,84.58,5.21,117.82,Potato
25.8,59.81,41.44,14.61,42.55,7.46,40.63,Lentil
62.39,50.41,37.7,24.32,64.54,6.82,84.53,Sunflower
77.3,36.59,41.43,35.46,47.81,7.65,59.95,Bajra
98.96,46.86,64.83,24.33,63.44,5.99,143.05,Maize
57.33,48.56,53.76,29.14,59.35,5.78,76.89,Mango
26.14,77.4,27.79,17.8,43.75,6.47,41.29,Lentil
106.28,65.38,86.8,19.89,63.34,6.87,55.85,Wheat
97.64,41.31,76.14,18.94,57.88,7.05,70.98,Onion
99.7,56.13,60.71,36.86,80.7,6.69,215.19,Jute
59.96,41.94,48.11,33.93,57.8,6.84,33.38,Bajra
81.6,50.49,48.21,34.82,81.12,6.4,248.47,Rice
132.73,49.54,116.75,34.27,79.14,5.8,160.05,Banana
83.24,31.43,41.5,37.17,52.04,7.14,91.07,Cotton
67.42,37.54,62.15,13.59,56.12,7.12,35.03,Barley
83.53,49.97,48.38,34.15,83.62,6.58,231.61,Rice
31.97,48.58,38.03,30.51,71.39,6.76,88.46,Groundnut
109.98,50.77,111.34,35.95,88.14,6.06,169.83,Banana
90.05,51.54,49.85,26.95,87.22,6.28,201.22,Rice
25.69,65.01,46.76,28.84,70.92,6.52,95.41,Groundnut
116.64,55.16,88.31,37.96,89.34,5.67,166.62,Banana
100.42,56.0,85.36,21.81,60.74,6.14,67.08,Tomato
103.35,40.32,76.79,24.68,64.12,5.9,121.97,Maize
106.57,60.57,59.72,26.21,63.49,6.01,114.82,Maize
105.15,58.17,121.32,17.7,83.69,5.74,93.94,Potato
78.97,29.77,42.46,31.22,52.99,6.32,114.43,Mango
77.4,41.65,45.72,33.2,62.73,6.85,80.39,Mango
79.75,52.94,58.93,11.34,44.71,6.81,40.55,Mustard
101.56,36.45,61.3,32.31,86.05,6.44,238.13,Jute
91.89,72.48,96.22,25.1,64.63,6.63,74.12,Tomato
129.48,53.22,113.82,32.35,87.9,5.93,155.03,Banana
85.53,45.52,81.92,27.97,66.28,6.77,69.56,Tomato
94.93,52.99,56.98,31.58,85.68,6.09,218.39,Rice
83.31,57.12,55.02,21.32,57.33,6.37,64.6,Onion
73.02,39.99,57.49,27.52,57.12,6.76,86.67,Sunflower
97.97,52.13,40.18,26.01,86.64,6.01,208.04,Rice
66.83,49.3,41.59,26.89,55.04,6.53,89.78,Sunflower
28.6,46.06,49.57,29.43,55.55,6.45,112.15,Groundnut
117.6,66.49,87.98,16.24,51.97,6.81,56.05,Wheat
116.45,72.78,99.83,28.87,82.93,6.89,176.2,Sugarcane
94.95,50.05,44.64,34.0,83.84,6.54,245.32,Rice
63.82,43.73,36.65,33.94,58.27,7.76,71.2,Jowar
61.38,50.38,65.4,14.83,52.6,7.15,36.86,Barley
100.39,57.08,49.76,28.96,86.34,6.57,191.84,Jute
123.9,61.48,90.22,36.76,83.26,6.61,171.42,Sugarcane
109.48,64.47,70.14,18.19,55.4,7.04,70.32,Wheat
58.54,28.77,48.17,36.54,45.26,7.81,52.09,Bajra
28.03,60.02,52.46,23.51,58.64,6.66,116.13,Soybean
113.75,72.45,90.07,31.59,82.42,6.35,163.53,Banana
93.85,42.69,45.99,28.59,88.04,6.28,210.54,Rice
97.64,48.55,43.24,25.13,85.6,6.53,235.97,Rice
30.98,69.13,54.13,16.57,48.24,6.67,45.08,Chickpea
74.94,50.69,64.87,9.1,60.37,6.37,45.18,Barley
122.53,80.1,128.94,21.05,82.23,5.29,89.56,Potato
75.52,56.68,68.16,17.62,58.1,6.75,65.58,Onion
109.93,33.77,62.7,28.7,83.15,6.85,205.78,Jute
15.81,79.55,43.24,14.91,48.17,7.43,47.53,Lentil
86.7,49.69,55.24,17.33,54.18,6.86,63.7,Onion
62.48,44.94,57.55,10.64,49.97,6.82,54.59,Mustard
96.45,57.9,95.61,25.06,77.25,6.23,107.25,Tomato
27.62,53.45,48.57,26.77,65.08,5.81,114.61,Groundnut
111.09,68.26,82.63,17.84,58.98,6.91,78.74,Wheat
38.18,80.84,62.51,24.7,67.51,6.87,100.9,Soybean
123.62,65.52,96.26,37.32,83.94,6.51,196.09,Sugarcane
111.47,63.42,82.97,10.68,63.46,6.62,59.84,Wheat
84.23,38.74,48.56,35.82,85.21,6.45,180.91,Jute
33.43,75.65,50.8,16.66,57.08,7.36,48.98,Chickpea
79.57,38.54,41.82,23.02,61.18,7.0,80.22,Sunflower
26.91,85.66,43.46,16.77,57.7,6.96,38.09,Chickpea
85.47,39.44,60.82,28.77,82.01,6.95,240.04,Jute
100.61,70.37,106.72,15.2,77.06,5.41,98.11,Potato
96.58,49.79,61.55,24.06,64.93,6.3,125.58,Maize
27.56,55.38,44.08,18.22,48.06,6.42,30.81,Lentil
116.52,63.04,77.97,13.17,57.01,6.79,78.85,Wheat
87.66,31.36,53.78,14.97,47.94,6.24,37.92,Mustard
91.56,52.55,82.61,22.42,69.11,6.22,109.1,Tomato
60.7,52.04,65.5,9.22,60.91,7.05,41.41,Barley
80.42,41.64,59.36,27.95,87.69,6.62,219.1,Rice
61.3,41.73,55.06,16.32,48.98,6.1,36.44,Mustard
70.5,30.3,44.56,39.56,57.22,7.16,33.92,Bajra
80.81,48.22,42.6,25.22,83.6,6.78,228.31,Rice
32.54,66.62,48.99,25.59,61.49,6.02,96.24,Groundnut
100.01,68.71,85.85,16.27,61.25,6.65,63.75,Wheat
103.97,51.78,46.19,29.91,85.48,6.78,245.49,Jute
92.86,53.88,50.25,28.05,82.13,6.03,215.2,Rice
17.29,71.66,30.32,14.85,50.99,6.66,27.38,Lentil
35.19,56.28,49.27,26.44,58.2,6.35,76.45,Groundnut
30.7,81.05,70.2,26.31,71.85,6.8,91.99,Soybean
53.25,49.23,44.21,37.71,52.66,7.17,67.28,Jowar
87.56,45.39,66.79,25.35,70.62,6.46,69.96,Tomato
88.35,50.81,52.48,37.96,82.12,6.26,248.39,Jute
109.35,52.34,113.98,35.89,83.73,6.65,156.92,Banana
136.97,72.1,120.97,29.14,76.17,6.15,201.23,Banana
41.52,64.3,51.76,31.11,53.88,6.19,111.47,Groundnut
23.5,81.06,44.11,18.88,42.2,7.7,49.6,Chickpea
27.05,62.5,55.04,25.57,60.87,6.22,108.7,Groundnut
74.03,31.04,47.53,34.93,50.88,6.19,65.08,Mango
85.91,45.48,46.76,37.76,88.51,7.18,234.62,Jute
95.68,44.4,73.58,23.51,65.45,6.07,149.1,Maize
73.94,35.97,32.59,38.71,49.47,7.8,47.55,Bajra
69.6,53.5,41.51,25.43,55.77,7.16,73.3,Sunflower
94.13,57.6,60.92,36.46,84.4,7.1,228.57,Jute
20.01,58.77,67.76,23.63,70.77,7.07,97.75,Soybean
22.28,78.94,33.54,14.85,51.97,7.1,34.38,Lentil
76.95,65.0,88.02,25.99,61.96,6.76,89.8,Tomato
118.6,65.45,83.23,19.03,51.48,6.73,71.27,Wheat
94.59,59.34,44.49,31.63,87.42,6.85,221.13,Rice
95.38,42.7,79.3,18.73,55.55,6.96,81.67,Onion
107.97,69.41,106.99,33.68,77.31,5.75,150.07,Banana
55.29,41.3,40.63,23.87,62.48,6.23,81.47,Sunflower
104.67,71.22,87.15,26.89,70.7,6.3,72.81,Tomato
108.9,52.23,63.55,27.55,60.29,6.21,127.45,Maize
23.93,68.15,39.48,15.74,57.17,6.92,41.1,Chickpea
57.62,33.95,60.32,36.17,60.93,5.7,89.54,Mango
64.77,57.19,48.86,8.55,63.99,7.17,31.44,Barley
27.41,71.74,48.39,24.48,69.98,5.97,93.16,Groundnut
20.57,76.3,40.85,15.54,47.32,7.15,33.52,Lentil
94.08,44.26,42.73,25.15,83.51,6.59,219.61,Rice
115.54,83.16,121.14,16.71,77.95,5.76,98.05,Potato
94.93,62.59,57.61,27.9,70.32,6.28,146.94,Maize
75.78,25.93,54.1,36.8,46.51,7.93,83.61,Cotton
55.3,27.98,47.39,35.71,67.79,6.72,95.98,Mango
25.05,74.48,39.52,19.62,47.55,7.34,31.54,Lentil
17.03,71.59,35.43,13.29,44.1,7.67,25.39,Lentil
109.82,69.8,129.7,17.59,75.49,6.03,92.48,Potato
25.03,51.91,57.32,27.46,57.1,6.73,103.68,Groundnut
82.4,57.81,51.87,31.79,87.89,6.5,204.35,Rice
61.92,31.13,48.96,34.3,56.56,7.96,38.42,Bajra
100.91,45.85,117.23,37.31,84.48,6.44,205.91,Banana
75.16,39.68,57.52,24.26,63.01,6.28,80.34,Sunflower
29.87,46.72,55.12,28.79,71.75,6.57,79.6,Groundnut
83.16,49.52,44.61,11.4,56.57,6.04,47.04,Mustard
59.31,37.2,53.53,34.99,43.89,6.4,61.79,Jowar
58.67,38.79,49.7,24.93,56.28,6.88,86.89,Sunflower
17.75,77.54,35.13,12.54,37.4,6.76,26.09,Lentil
110.3,79.68,119.72,16.36,83.77,5.4,109.48,Potato
31.87,75.07,63.72,27.46,71.27,7.01,133.94,Soybean
72.51,28.08,35.28,37.73,51.69,7.37,68.03,Bajra
115.33,70.74,95.9,33.45,78.32,7.13,171.96,Sugarcane
106.12,48.84,71.06,23.47,61.31,6.36,104.95,Maize
71.45,49.6,60.65,21.33,53.61,7.15,61.84,Onion
95.33,52.15,44.43,31.03,80.26,6.95,243.0,Jute
115.97,88.35,126.42,21.7,75.83,6.08,110.51,Potato
76.28,54.55,56.26,17.23,40.53,6.14,27.54,Mustard
80.83,28.84,58.09,31.58,40.39,7.02,84.89,Cotton
61.22,40.59,47.82,27.34,62.72,7.12,80.71,Sunflower
65.71,47.65,49.23,32.73,42.35,7.81,45.88,Bajra
56.86,44.69,53.19,33.33,57.55,7.66,39.04,Bajra
86.57,52.79,59.77,8.05,45.04,7.76,40.57,Barley
105.5,66.39,76.82,19.98,53.95,6.78,77.92,Wheat
71.75,50.88,80.61,23.2,59.96,7.01,64.82,Onion
22.53,47.67,38.8,31.22,63.48,6.32,106.78,Groundnut
85.24,32.36,48.31,36.66,44.65,7.94,67.19,Cotton
37.81,81.78,56.26,26.5,61.27,7.03,107.09,Soybean
100.95,46.41,78.32,20.8,73.95,6.25,70.09,Tomato
31.0,75.05,49.27,26.72,62.49,6.82,95.73,Soybean
81.22,45.54,56.12,32.48,81.85,6.21,218.52,Rice
76.53,45.49,67.68,15.18,55.39,6.89,66.62,Barley
62.54,34.91,41.42,32.4,61.23,6.43,61.43,Jowar
79.56,41.95,46.76,31.94,51.94,6.62,57.5,Bajra
126.82,62.19,128.54,35.28,88.72,5.81,197.09,Banana
84.1,51.65,51.68,12.93,51.75,6.31,32.15,Mustard
123.94,74.55,91.95,32.07,70.39,7.07,154.8,Sugarcane
31.19,69.32,47.12,17.02,54.35,7.7,49.39,Chickpea
71.13,52.19,36.3,22.66,65.56,6.43,80.67,Sunflower
77.79,55.62,64.06,21.16,60.64,6.4,80.69,Onion
21.27,57.02,63.95,26.61,64.07,6.55,103.9,Soybean
102.19,43.58,65.3,37.12,84.37,6.68,208.85,Jute
120.99,67.91,98.69,28.41,83.78,7.11,190.37,Sugarcane
34.34,62.09,53.68,25.78,61.76,6.02,97.93,Groundnut
130.57,65.06,101.98,34.32,87.54,6.55,146.48,Banana
43.33,65.31,44.91,27.75,53.35,6.46,80.64,Groundnut
56.98,37.16,46.09,30.97,57.71,5.92,89.76,Mango
90.4,53.1,67.63,25.15,71.69,6.44,108.09,Maize
31.66,67.71,61.86,25.95,61.49,5.88,81.34,Groundnut
24.6,77.55,68.44,26.89,61.62,7.0,110.67,Soybean
91.57,54.01,63.3,22.93,70.19,6.17,146.66,Maize
103.32,66.78,122.97,32.06,80.35,6.36,146.05,Banana
19.62,64.66,31.12,16.76,40.65,7.39,39.49,Lentil
92.4,50.67,57.88,32.89,81.52,6.31,212.42,Rice
93.81,58.77,59.13,19.88,65.67,6.28,87.54,Onion
95.46,43.73,53.89,30.14,84.22,6.7,229.59,Jute
112.52,46.2,87.22,35.18,76.69,6.12,207.39,Banana
99.77,55.08,63.14,27.9,68.01,5.83,116.33,Maize
91.57,38.13,75.37,19.4,59.54,6.54,61.05,Onion
75.01,48.06,51.55,39.85,50.72,6.92,39.6,Bajra
103.1,48.52,49.11,32.0,84.71,6.35,206.18,Jute
82.49,46.09,57.86,11.22,46.42,6.64,43.46,Barley
117.17,50.8,121.41,28.62,87.52,5.86,179.67,Banana
112.09,67.64,80.47,12.27,60.0,6.58,63.26,Wheat
122.9,73.45,102.72,31.58,77.44,6.72,204.06,Banana
129.69,85.26,115.61,17.18,78.55,5.84,93.41,Potato
110.26,71.71,90.09,28.18,77.16,5.71,183.04,Banana
31.42,48.56,40.97,25.09,52.43,6.35,80.9,Groundnut
85.42,48.63,57.44,20.35,60.38,6.29,75.85,Onion
26.92,75.75,70.19,27.22,68.33,6.39,126.6,Soybean
67.91,49.48,50.16,27.14,64.51,6.41,84.0,Sunflower
76.28,48.09,82.94,21.36,58.55,6.38,76.65,Onion
74.52,47.19,41.35,17.2,47.74,6.54,36.27,Barley
59.58,33.84,50.03,36.53,56.6,6.73,119.69,Mango
139.51,59.87,93.8,32.61,87.81,6.59,166.88,Banana
61.76,35.81,43.26,27.09,59.99,6.66,78.16,Sunflower
37.35,61.43,47.59,31.19,60.7,6.0,118.96,Groundnut
34.14,67.27,48.58,30.44,67.73,6.0,95.42,Groundnut
109.08,81.1,110.3,21.32,72.45,5.52,99.95,Potato
74.51,39.48,56.24,35.43,49.1,7.56,94.44,Cotton
64.03,36.7,39.82,22.05,65.1,7.02,99.94,Sunflower
93.68,37.06,51.58,31.86,40.7,7.95,72.55,Cotton
134.36,71.27,91.07,32.58,82.97,7.43,151.19,Sugarcane
73.94,48.41,65.4,10.95,63.95,6.65,62.62,Barley
122.47,56.84,107.58,20.89,84.27,5.61,118.8,Potato
61.18,52.72,54.61,12.17,48.94,6.03,35.18,Mustard
23.2,62.31,46.92,23.67,67.66,6.85,117.72,Soybean
52.97,47.69,54.82,31.62,68.98,6.1,83.49,Mango
122.37,86.12,113.21,17.4,71.53,5.54,82.74,Potato
85.85,68.7,90.86,24.61,62.61,6.64,78.84,Tomato
89.01,40.77,57.05,30.75,89.11,6.62,249.21,Jute
117.91,58.12,122.98,21.43,83.98,5.31,102.33,Potato
44.97,50.49,51.26,28.43,61.03,6.04,100.44,Groundnut
85.6,55.4,55.65,29.66,86.56,6.53,173.72,Jute
74.28,33.52,43.74,36.19,47.12,7.35,74.44,Cotton
119.81,62.74,101.48,15.7,74.86,5.7,119.73,Potato
83.45,41.43,48.52,36.54,84.46,6.74,247.19,Jute
120.08,48.9,129.54,32.25,82.58,6.34,155.32,Banana
57.42,35.49,67.88,30.03,58.27,6.6,103.79,Mango
41.23,53.93,47.4,30.47,67.19,6.7,80.99,Groundnut
83.23,39.18,43.25,12.01,43.87,6.73,39.11,Mustard
92.93,59.48,56.94,25.24,88.99,6.78,239.02,Rice
92.03,36.72,55.57,31.99,50.17,7.9,75.43,Cotton
71.17,56.99,61.08,17.17,50.98,6.33,52.51,Barley
115.18,72.27,124.37,15.97,79.81,5.68,109.73,Potato
87.46,55.7,58.68,17.32,55.88,7.04,78.8,Onion
79.42,44.01,50.13,15.2,53.59,6.55,53.15,Mustard
83.07,55.78,54.75,12.41,57.66,7.09,32.46,Barley
111.0,74.94,77.47,34.83,73.79,6.89,182.3,Sugarcane
17.43,77.1,31.85,13.0,45.2,6.86,45.39,Lentil
94.47,55.92,67.66,26.46,65.21,6.68,92.39,Tomato
108.23,58.43,107.06,17.5,70.53,5.34,92.95,Potato
20.03,66.08,46.83,26.68,68.97,7.01,91.52,Soybean
77.05,51.73,97.52,24.58,67.93,6.2,71.02,Tomato
30.3,59.43,46.82,22.82,59.91,6.51,131.66,Soybean
36.12,69.86,69.38,23.34,59.57,6.58,99.18,Soybean
67.04,48.19,44.19,35.3,53.03,6.47,35.88,Bajra
111.77,80.44,106.52,16.27,75.65,6.02,104.95,Potato
136.29,61.39,89.66,28.77,73.87,6.59,165.76,Sugarcane
29.82,77.6,49.55,18.35,45.17,7.05,51.48,Chickpea
26.06,68.72,65.17,22.11,63.51,6.76,100.76,Soybean
32.87,77.09,51.74,17.23,46.1,7.63,49.62,Chickpea
99.88,42.96,55.34,23.82,68.38,6.35,114.79,Maize
21.67,75.4,50.8,18.07,47.77,7.34,44.54,Chickpea
83.13,56.42,46.59,32.7,84.66,6.83,223.2,Jute
22.21,75.44,69.32,27.53,66.5,6.74,139.7,Soybean
28.95,72.93,36.57,13.84,35.26,7.34,30.78,Lentil
100.49,66.97,84.51,18.36,64.62,7.48,51.96,Wheat
84.16,27.99,49.38,36.65,40.23,7.27,60.1,Cotton
52.2,47.37,55.64,34.52,67.64,6.82,87.48,Mango
63.95,46.42,47.4,34.08,50.75,5.98,91.0,Mango
125.44,64.36,93.51,36.33,81.26,6.64,181.1,Sugarcane
16.16,70.45,41.97,12.17,36.13,6.99,43.44,Lentil
95.26,53.91,65.29,27.69,61.52,6.48,111.53,Maize
100.94,59.39,129.99,36.69,89.0,6.31,208.73,Banana
94.03,36.42,59.26,14.95,59.38,6.36,41.54,Barley
79.93,49.13,51.85,11.92,40.0,6.8,49.68,Mustard
55.15,59.54,41.71,27.42,57.32,7.02,85.06,Sunflower
84.72,48.22,44.58,17.65,40.45,6.33,32.8,Mustard
128.42,72.79,119.36,29.92,76.31,6.14,216.51,Banana
108.06,51.37,53.42,31.39,81.48,6.29,203.89,Jute
113.72,63.4,79.86,32.16,75.77,7.24,188.71,Sugarcane
26.31,77.03,28.43,14.77,51.49,7.47,32.06,Lentil
88.86,60.68,86.76,20.8,63.26,6.49,94.62,Tomato
67.29,56.6,61.57,23.0,54.6,6.82,79.23,Onion
87.32,54.89,82.63,22.31,64.2,6.86,60.15,Onion
131.58,57.53,76.22,36.78,71.2,6.65,151.11,Sugarcane
71.01,32.73,48.13,31.33,40.35,7.13,86.18,Cotton
80.51,42.16,40.63,31.36,83.14,6.51,245.38,Rice
30.5,89.18,51.22,15.54,52.84,7.3,30.41,Chickpea
36.62,77.58,68.42,25.93,70.37,6.29,123.98,Soybean
89.37,47.55,42.33,11.87,56.13,6.6,31.59,Barley
93.66,35.67,56.82,16.12,61.46,6.9,39.02,Barley
122.52,84.5,103.17,16.39,82.49,5.92,112.24,Potato
100.44,41.85,59.8,27.04,68.7,6.43,105.88,Maize
129.59,83.58,121.9,19.12,81.55,6.15,104.05,Potato
27.03,80.84,63.05,27.76,70.11,7.09,121.59,Soybean
30.63,66.01,36.03,19.26,51.56,7.5,39.3,Chickpea
81.19,52.08,53.73,26.14,83.84,6.46,218.45,Rice
27.22,83.74,57.33,26.32,71.54,6.35,92.73,Soybean
72.3,54.02,51.47,26.36,55.77,6.73,93.49,Sunflower
18.86,66.01,30.62,12.98,40.47,7.58,34.53,Lentil
31.85,72.02,68.8,26.61,58.73,6.76,110.89,Soybean
56.11,48.15,33.0,33.32,51.69,7.76,70.93,Jowar
80.09,55.82,47.46,8.72,49.04,6.99,57.24,Barley
88.64,48.79,52.26,34.43,82.41,6.12,209.87,Rice
56.37,52.83,39.12,22.1,57.08,6.58,73.2,Sunflower
81.04,45.03,40.73,11.22,48.82,6.83,39.67,Barley
85.2,56.14,43.59,30.88,85.63,7.06,216.16,Jute
68.99,62.0,70.56,23.19,71.35,6.78,58.62,Onion
90.2,63.43,70.69,23.93,62.96,5.81,111.77,Maize
69.84,43.94,43.93,23.72,64.17,6.56,75.72,Sunflower
21.89,84.37,64.6,23.68,70.84,7.15,130.52,Soybean
64.84,29.16,32.87,28.04,60.76,7.99,40.42,Jowar
